event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-q10vYtvcg4tXpB4,-1 to Space with Astronaut Shubhanshu Shukla & Aditya Agarwal | South Park Commons (BLR),https://lu.ma/cu2lhdar,2026-05-28T10:30:00.000Z,2026-05-28T12:30:00.000Z,Asia/Calcutta,offline,Bengaluru,Vanganahalli,India,12.915,77.645,https://images.lumacdn.com/uploads/kn/c039ea11-ec4f-4701-85a8-51c07e6bc7ee.png,0,South Park Commons,SPC India Events,spc-india,independent,public,False,featured,
evt-nNRBz5HmvvZuwov,Noon x Elevation: AI in Product Design Panel + Mixer,https://lu.ma/noon-elevation-bangalore,2026-05-28T12:30:00.000Z,2026-05-28T15:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Adarsh Palm Retreat Villas,India,12.92,77.685,https://images.lumacdn.com/uploads/19/b01e431d-b337-4548-944b-ff4226d3a1fd.png,0,"Belinda Huang, Elevation Capital",Noon,noon.design,independent,public,False,featured,
evt-v3nMcj92j7qZsWl,build n yap: after office hours (night build 🌙),https://lu.ma/fluk2ma7,2026-05-28T13:45:00.000Z,2026-05-28T17:45:00.000Z,Asia/Kolkata,offline,Bengaluru,Indira Nagar 1st Stage,India,12.9775,77.645,https://images.lumacdn.com/uploads/7l/b0390c74-99b0-4fe6-b1f6-cdf7b998eac0.png,27,Harkirat (Rocket) Singh,Personal,,independent,public,False,snowball,Tech
evt-2wiekEY8liTfJIz,Ideas on Ice: Fintech Edition,https://lu.ma/IdeasOnIce,2026-05-29T05:15:00.000Z,2026-05-29T07:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Adarsh Palm Retreat Villas,India,12.92,77.685,https://images.lumacdn.com/uploads/n7/1a241d6e-c905-4cd3-a0bd-1f101fcf0867.png,0,"Elevation Capital, Vartika Bansal, Siddhant Agarwal",Elevation Capital,elevationcapital,independent,public,False,snowball,AI
evt-BQtXN5p0FhSv7T7,Paytm Ideathon 2026,https://lu.ma/ndhh0rqz,2026-05-29T08:30:00.000Z,2026-05-29T12:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Bellandur,India,12.92,77.6675,https://images.lumacdn.com/uploads/g7/dd678a24-64dd-4fd9-bdc4-2a7ec2ab5414.png,50,Paytm Community,Personal,,independent,public,False,featured,
evt-q4Bnn8XIo0gTgVx,Startup Founders Meetup by CEDAT,https://lu.ma/4otj65v8,2026-05-29T12:30:00.000Z,2026-05-29T14:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Nagarjun Enclave,India,12.9066301,77.5766065,https://images.lumacdn.com/event-covers/ap/d4381954-1497-44bd-9a59-2d70d88d56d2.png,0,"Akash Akku, CEDAT","CEDAT - Nexus of Startups, Communities & Ecosystems",CEDAT,independent,public,False,snowball,Tech
evt-BTizlsPERmlB3vX,Do you need a brain to have a mind?,https://lu.ma/p44pj8qq,2026-05-29T13:00:00.000Z,2026-05-29T14:00:00.000Z,Asia/Kolkata,offline,Bengaluru,Binnamangala,India,12.98,77.64,https://images.lumacdn.com/uploads/5o/010dacd5-8492-445b-9e59-2765121099d2.png,126,"Sourabh Patravale, Paras Chopra, Jay Joshi",Lossfunk Event Calendar,lossfunk,independent,public,False,featured,
evt-v0998O28Fz6jvO0,"Fishing expedition with camping, open water swimming & sunrise trekking",https://lu.ma/rk4mql4i,2026-05-29T19:30:00.000Z,2026-05-31T16:30:00.000Z,Asia/Kolkata,offline,Bengaluru,,India,12.9628669,77.57750899999999,https://images.lumacdn.com/uploads/lc/409482c9-ad8e-4e22-808c-86d6dabc95a4.png,4,Pavan,Hooly,hooly,independent,public,False,snowball,Fitness
evt-AOQjKVjZcBDiCuW,Night Trek to Offbeat Trails,https://lu.ma/f0b33kte,2026-05-29T19:30:00.000Z,2026-05-30T07:30:00.000Z,Asia/Kolkata,offline,Bengaluru,,India,12.9628669,77.57750899999999,https://images.lumacdn.com/event-covers/28/516e67f3-99f9-464c-bde9-549c051895bd.png,8,Pavan,Hooly,hooly,independent,public,False,snowball,Fitness
evt-1pEC92XMu956d8h,Cubbon Fun Run,https://lu.ma/0gl2oome,2026-05-30T01:30:00.000Z,2026-05-30T03:00:00.000Z,Asia/Kolkata,offline,Bengaluru,Sampangi Rama Nagar,India,12.9811272,77.596567,https://images.lumacdn.com/uploads/zm/36834743-a26f-475b-917d-6a8d5266da97.png,13,Namma Circles,Personal,,independent,public,False,snowball,Fitness
evt-ricFtu15y1hu3De,TSOW HR Leaders Roundtable in Bangalore,https://lu.ma/5kg7kpvk,2026-05-30T04:00:00.000Z,2026-05-30T09:00:00.000Z,Asia/Kolkata,offline,Bengaluru,Shanthala Nagar,India,12.965,77.5975,https://images.lumacdn.com/uploads/f1/ccbcfb76-2d7c-4f85-ae57-e246e840223a.png,56,The Shape of Work by Springworks,Personal,,independent,public,False,snowball,AI
evt-iIF2HLgQyo8uZ8H,Unbound Creativity With TRAE,https://lu.ma/9htiuqkg,2026-05-30T04:30:00.000Z,2026-05-30T12:30:00.000Z,Asia/Kolkata,offline,Bengaluru,LRDE Layout,India,12.9699531,77.7008379,https://images.lumacdn.com/uploads/0b/f9a54ebc-1b42-477b-b931-1a590f657574.png,711,"Amit Kumar Dubey, Atul Anand, Indian Data Club, Hardik, Shrawan Saproo",Hack Briven,,independent,public,False,featured,
evt-dekJY8Ma0f4UwDK,Build Your Own AI Pet | HMF #1,https://lu.ma/ukd1f4kz,2026-05-30T04:30:00.000Z,2026-05-30T12:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Indira Nagar 1st Stage,India,12.9813004,77.6405144,https://images.lumacdn.com/uploads/1w/b4c62be8-9b4a-4631-910e-a5360ff8846b.png,24,Devfolio,Personal,,independent,public,False,featured,
evt-7NM6fSimETQQv3g,Voice Agent Jam 3.0 @Vedantu,https://lu.ma/41idg10y,2026-05-30T05:00:00.000Z,2026-05-30T13:00:00.000Z,Asia/Kolkata,offline,Bengaluru,Agara Village,India,12.92,77.645,https://images.lumacdn.com/uploads/0a/988667a5-025e-45df-99e1-31054659491e.png,30,Harkirat (Rocket) Singh,Personal,,independent,public,False,snowball,AI
evt-RAhlR66InZJhkSB,Lets Talk : Agent Harness,https://lu.ma/ycpxdw21,2026-05-30T05:30:00.000Z,2026-05-30T10:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Srinivas Nagar,India,12.9688125,77.6005625,https://images.lumacdn.com/uploads/7e/82d197de-57f0-47ba-b64a-da6be9920cd7.png,190,"Joinal Ahmed, Nikhil R",Personal,,independent,public,False,featured,
evt-zeCEthpj5hVAxBF,"The Talent War for AI Roles: Build, Buy, or Partner? The CHRO's Strategy for Closing the Skills Gap.",https://lu.ma/orn4gomn,2026-05-30T05:30:00.000Z,2026-05-30T07:30:00.000Z,Asia/Calcutta,offline,Bengaluru,Yellappa Chetty Layout,India,12.973508899999999,77.6164228,https://images.lumacdn.com/uploads/1c/fd4b5d24-67c4-4817-9b76-228ea1df7a15.png,299,"Rajesh Bharti, Ravindra M.K, Aaryendr Rajpurohit",RevOps Chronicles Calendar,,independent,public,False,featured,
evt-iFKd1du8pcLa6aS,Building an AI Agent with Make.com x AI Collective,https://lu.ma/aic-buildanaiagent,2026-05-30T08:30:00.000Z,2026-05-30T11:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Kaverppa Layout,India,12.9375,77.6925,https://images.lumacdn.com/event-covers/f5/d25dba89-c8a1-4905-9bd6-647ac1237e45.png,0,"The AI Collective, Make",🌍 Make AI Global Calendar,ai-automations-make-global-calendar,independent,public,True,featured,
evt-ow4Y6ZAHzt76vAe,Founders & Investors Xplore by CEDAT,https://lu.ma/7iomnl6r,2026-05-30T08:30:00.000Z,2026-05-30T12:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Maruthi Nagar,India,12.991163199999999,77.7206522,https://images.lumacdn.com/uploads/3t/301159e7-5d2b-4f3b-b26c-2876666def4f.jpg,0,"Akash Akku, CEDAT","CEDAT - Nexus of Startups, Communities & Ecosystems",CEDAT,independent,public,False,snowball,Tech
evt-MFhop65LRjuZO4V,AI Vibe Sprint Bangalore - The Product Folks x Emergent,https://lu.ma/6jzw6n55,2026-05-30T09:30:00.000Z,2026-05-30T13:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Sector 2,India,12.9,77.6525,https://images.lumacdn.com/uploads/fc/f126fff6-6a8f-449a-97ae-a4bc2955f0ba.jpg,0,"The Product Folks 🚀, Bharath Bhat, Tvisha raji",The Product Folks,theproductfolks,independent,public,False,snowball,AI
evt-itmshzO9o6A51tj,The Sandbox #10,https://lu.ma/wymki33z,2026-05-30T10:00:00.000Z,2026-05-30T13:00:00.000Z,Asia/Kolkata,offline,Bengaluru,8th Block,India,12.9319385,77.6282543,https://images.lumacdn.com/uploads/al/70edb450-4753-40e1-a5d0-ce5fd441adca.png,88,"RB Bharath, Nilanjana, Nikhil Bhima",Aretaxia,Aretaxia,independent,public,False,snowball,Crypto
evt-u6uDukokZgPt72A,hardware experience | project mnemosyne by antimattr,https://lu.ma/7qn6frmt,2026-05-30T11:30:00.000Z,2026-05-30T13:30:00.000Z,Asia/Kolkata,offline,Bengaluru,HAL 2nd Stage,India,12.970230599999999,77.6445584,https://images.lumacdn.com/uploads/gl/bafdf2b1-3303-4309-8e71-0ccde582a1c8.png,0,"Sridipto Ghosh, Sirsho Chakraborty",Personal,,independent,public,False,featured,
evt-XQe8D4HRcxPdkuK,Pitch Roast @ Zo House,https://lu.ma/71iv4mt4,2026-05-30T12:30:00.000Z,2026-05-30T16:30:00.000Z,Asia/Calcutta,offline,Bengaluru,,India,12.932957799999999,77.6345008,https://images.lumacdn.com/event-covers/72/6b13c1c1-46f2-4036-bf1e-25a089c0342b.png,0,Boldrin,BLRxZo,blrxzo,independent,public,False,snowball,Tech
evt-GCyZgPF8P5SiZxd,DJ Mixer Sundowner,https://lu.ma/aibuksax,2026-05-30T12:30:00.000Z,2026-05-30T15:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Indira Nagar 1st Stage,India,12.9813004,77.6405144,https://images.lumacdn.com/uploads/rv/d808fb30-5dab-4e6b-824e-b65e02ae6175.jpg,1,Devfolio,Personal,,independent,public,False,snowball,Tech
evt-PxczhTWTxmmLg7G,UCL Final - Hosted by Paytm,https://lu.ma/pszjbjfr,2026-05-30T16:00:00.000Z,2026-05-30T18:30:00.000Z,Asia/Kolkata,offline,Bengaluru,Bellandur,India,12.9207576,77.6686651,https://images.lumacdn.com/uploads/wg/630adb7a-8f62-40e3-b8d4-f30a3bc0f919.jpg,17,Namma Circles,Personal,,independent,public,False,snowball,
