event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-Fa8CwrrCQYxjKgo,Media Seminar,https://lu.ma/p7tc93l7,2026-05-29T04:30:00.000Z,2026-05-29T07:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Madhava Reddy Colony,India,17.4369684,78.3520363,https://images.lumacdn.com/uploads/xh/bd11e7ec-110e-47f5-a9ed-ef8dde726ffc.jpg,0,Shanti Sarovar,Shanti Sarovar,shantisarovar,independent,public,False,snowball,Wellness
evt-VPYMjWpGUSC9kcy,IDC - Walk with Founders - Hyderabad,https://lu.ma/wqcdbyva,2026-05-30T01:30:00.000Z,2026-05-30T03:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Kondapur,India,17.4555248,78.3603625,https://images.lumacdn.com/uploads/8p/b0f40388-1764-4dc4-abf2-4327234098f5.png,194,Indian Data Club,Walk With Founders,,independent,public,False,snowball,Tech
evt-n4H0iNq0oo9NdoI,ai&weekends ep4 - Hyderabad,https://lu.ma/r20z1faz,2026-05-30T06:30:00.000Z,2026-05-30T10:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Patrika Nagar,India,17.4475,78.38,https://images.lumacdn.com/uploads/bv/e2b38f54-3b8a-41da-b751-78706350aac0.png,9,"AI & Weekends, Priyanshu Ratnakar, Tushar Mehta, Ritav Das",ai & weekends,aiandweekends,independent,public,False,snowball,AI
evt-T4PcKlbao9xGDKH,TSOW HR Meetup in Hyderabad,https://lu.ma/qb14eqft,2026-05-30T06:30:00.000Z,2026-05-30T09:30:00.000Z,Asia/Kolkata,offline,Hyderabad,APHB Colony,India,17.45,78.355,https://images.lumacdn.com/uploads/a1/5057e671-9f2e-4606-8244-5556884e3124.png,287,"The Shape of Work by Springworks, Uday","The Shape of Work, powered by SpringVerify",theshapeofworkbyspringworks,independent,public,False,snowball,
evt-Awt6lgc1MDRgGs2,AI Builders Mixer: Hyderabad Edition,https://lu.ma/9ccj9v7a,2026-05-30T12:30:00.000Z,2026-05-30T14:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Rajiv gandhi Nagar,India,17.4425257,78.3584968,https://images.lumacdn.com/uploads/ap/93843970-2553-4536-9095-a7082bc80901.jpg,141,Mritunjay Kumar,The AI Builders,the_ai_builders,independent,public,False,snowball,AI
evt-pKavVc7ApLT05Bi,Compete & Win: Summer Internship Challenge 2026,https://lu.ma/goekfv3b,2026-05-31T03:30:00.000Z,2026-05-31T11:30:00.000Z,Asia/Kolkata,offline,Rai Durg,Muppas Panchavati Colony,India,17.4217068,78.3846851,https://images.lumacdn.com/uploads/pg/7457882a-85cb-4201-8231-a4273d6f91fe.jpg,239,"GradSkills, CodeQuesters",Personal,,independent,public,False,snowball,Tech
evt-BLtZVEJ0YbjiPbf,The Modern AI Stack,https://lu.ma/fivxivbo,2026-05-31T05:00:00.000Z,2026-05-31T10:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Silpa Gram Craft Village,India,17.432693999999998,78.3808586,https://images.lumacdn.com/uploads/hg/8e14d993-0333-409a-b2d8-2d87aeb03a47.png,398,"Amit Kumar Dubey, Sahil Khosla, Hardik, Sahib Musharraf, Atul Anand",Hack Briven,,independent,public,False,snowball,AI
evt-NrJDf5qWDqnBOJp,TSOW HR Leaders Dinner in Hyderabad,https://lu.ma/owjl82zl,2026-06-03T13:00:00.000Z,2026-06-03T16:30:00.000Z,Asia/Kolkata,offline,Hyderabad,,India,17.4075,78.4775,https://images.lumacdn.com/uploads/9h/dbe3fbf0-9611-4fa5-b66e-66a2e509d5a1.png,0,The Shape of Work by Springworks,Personal,,independent,public,False,snowball,
evt-S2ksyjCppJBzd3A,GrabChai Hyderabad: The PM’s Dilemma: Build Fast or Build Right?,https://lu.ma/f03gi4jl,2026-06-13T09:30:00.000Z,2026-06-13T11:30:00.000Z,Asia/Calcutta,offline,Hyderabad,,India,17.4075,78.4775,https://images.lumacdn.com/uploads/9i/a2b7ca91-8bdc-4407-900d-20b2afccaaf6.jpg,0,"Grabchai-The Product Folks, Sripali Deb, Sri Harshitha",GrabChai,Grabchai,independent,public,False,snowball,Tech
evt-JfwdS2EIonDTTYm,MAKE FLOW MEETUP,https://lu.ma/t1o5bxf5,2026-06-27T04:30:00.000Z,2026-06-27T10:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Kondapur,India,17.4534974,78.3704541,https://images.lumacdn.com/uploads/pq/2bf7ac86-2236-4875-b9c4-b2c733df61d4.png,0,"Amit Kumar Dubey, Hardik",Hack Briven,,independent,public,False,snowball,AI
evt-deOBircqfW2N1ES,TSOW HR Meetup in Hyderabad,https://lu.ma/i47y3j3b,2026-07-04T06:30:00.000Z,2026-07-04T09:30:00.000Z,Asia/Calcutta,offline,Hyderabad,,India,17.4075,78.4775,https://images.lumacdn.com/event-covers/fa/a4774344-1be0-4f71-aafc-d037e06875d8.png,0,The Shape of Work by Springworks,Personal,,independent,public,False,snowball,
evt-4vclMJjSYtNpTnq,Global CXO Awards 2026 – A Global Celebration of Leadership Excellence,https://lu.ma/auznz8tk,2026-11-18T09:30:00.000Z,2026-11-18T12:30:00.000Z,Asia/Kolkata,offline,Hyderabad,Izzathnagar,India,17.4728501,78.3728443,https://images.lumacdn.com/event-covers/m0/0f2f2aa4-a8e0-43ff-a496-f98dd1dd9070.png,0,Raj Varma,Personal,,independent,public,False,snowball,
