event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-uzGBJzOY7nQPQIq,*** ANNULÉ*** Book Crush - Dating #7 (Hétéro 40-55) 💛 📚,https://lu.ma/book-crush-7,2026-05-27T22:00:00.000Z,2026-05-28T01:00:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/event-covers/1s/1e43abe6-4ab1-42ff-81f0-0ff80077cbb0.jpg,0,Together Club,Together Club,togetherclub,independent,public,False,snowball,
evt-3EGvNgDzRGS21Hv,Collage Night ✂️,https://lu.ma/qenw0htl,2026-05-27T22:30:00.000Z,2026-05-28T01:00:00.000Z,America/Toronto,offline,Montréal,Vieux-Rosemont,Canada,45.550132999999995,-73.57336459999999,https://images.lumacdn.com/event-covers/7u/aa10a244-3069-4f0a-9e7e-835931325f54.jpg,0,"Social Crafts, Moisés Paul",Social Crafts,socialcrafts,independent,public,False,featured,
evt-DFgDYFg3LEn2m5f,Game 4 Watch Party 🏒,https://lu.ma/watch-party-4,2026-05-27T23:45:00.000Z,2026-05-28T02:45:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/uploads/ua/165da15b-aa7d-41c0-b6a6-9ae40ea763f9.png,0,Together Club,Together Club,togetherclub,independent,public,False,snowball,
evt-rPGjwTbXi18Qnr1,How to Get Away with a Killer SaaS Product Strategy,https://lu.ma/lkny31fu,2026-05-28T22:00:00.000Z,2026-05-29T00:30:00.000Z,America/Toronto,offline,Montréal,Downtown Montreal,Canada,45.497525499999995,-73.5686989,https://images.lumacdn.com/event-covers/7y/76a8ca4e-4671-4452-91f5-4727633356b2.jpg,66,"Montreal Girl Geeks, Joelle Irvine, Liesl Barrell, Géraldine Jippé",Montreal Girl Geeks,mtlgirlgeeks,independent,public,False,snowball,Tech
evt-hNNxBysCPwqu9pt,Wine & Sex Toys 🍷🍑,https://lu.ma/wine-and-sex-toys-1,2026-05-28T22:30:00.000Z,2026-05-29T00:30:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/event-covers/e3/3fb0d27f-bfc6-439e-8022-dc0b3fcf1a81.jpg,0,"Together Club, Espace Together, Kim, Maude Gendron",Together Club,togetherclub,independent,public,False,snowball,
evt-hOc2KktkB66j7Lo,Atelier de Bulles [ENG],https://lu.ma/atelier-bulles,2026-05-29T22:00:00.000Z,2026-05-30T00:00:00.000Z,America/Toronto,offline,Montréal,Griffintown,Canada,45.494064599999994,-73.5570781,https://images.lumacdn.com/uploads/yl/a1666824-633d-425c-accc-c22e66371874.png,13,"Viviane Sauvé De Guise, Troisième Cercle",Personal,,independent,public,False,featured,
evt-IfUMPcHADPTFGDV,Open House #1 feat. Soie Lait,https://lu.ma/open-house-1,2026-05-29T22:00:00.000Z,2026-05-30T03:00:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/uploads/7k/000c5ab6-702e-44d4-a30e-ddf644b890d6.jpg,0,"Together Club, Khoa",Together Club,togetherclub,independent,public,False,featured,
evt-gkNfqHVWQrzVINe,Cake Picnic – Thème Bridgerton,https://lu.ma/xvre9gnx,2026-05-30T20:30:00.000Z,2026-05-31T01:30:00.000Z,America/Toronto,offline,Laval,Laval-des-Rapides,Canada,45.5454077,-73.7203686,https://images.lumacdn.com/uploads/lp/61d2c5d2-ecc0-4b1d-b039-1530f1c6f84a.png,0,FEINRS,Personal,,independent,public,False,featured,
evt-dMNC1AUU28ecFDk,Mange ta vie Cookbook Club,https://lu.ma/ybsqlg0p,2026-05-30T23:00:00.000Z,2026-05-31T02:00:00.000Z,America/Toronto,offline,Montréal,Griffintown,Canada,45.4975,-73.5625,https://images.lumacdn.com/uploads/r1/3f3eada9-31c7-4924-99ad-0fae152e9355.png,33,Grace Duern,Montreal Cookbook Club,mtlcookbookclub,independent,public,False,featured,
evt-voJE4iJeWmaTPOB,Books & Brunch Picnic,https://lu.ma/cqmfqy3n,2026-05-31T16:30:00.000Z,2026-05-31T19:30:00.000Z,America/Toronto,offline,Montréal,Le Plateau-Mont-Royal,Canada,45.5273219,-73.5703556,https://images.lumacdn.com/uploads/zv/51cf2ea9-1b96-410c-a374-c4235ed79c82.jpg,0,Maison Lecture,Personal,,independent,public,True,featured,
