event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-DABPggDa7dEYFBj,TSOW HR Leaders Dinner in Mumbai,https://lu.ma/s9bps10t,2026-05-20T13:00:00.000Z,2026-05-20T16:30:00.000Z,Asia/Kolkata,offline,Mumbai,Income Tax Colony,India,19.0675,72.87,https://images.lumacdn.com/uploads/ca/214de33e-7a21-4cdf-811b-22434af62059.png,0,"The Shape of Work by Springworks, Yashwanth Jembige, Anjali Singh",Personal,,independent,public,False,snowball,
evt-1nCkJSjSU4lzAuu,The Future of Voice AI: Mumbai Edition,https://lu.ma/lg9aykiu,2026-05-21T12:30:00.000Z,2026-05-21T17:00:00.000Z,Asia/Kolkata,offline,Mumbai,G Block BKC,India,19.0636208,72.8667771,https://images.lumacdn.com/uploads/6v/5d0effaf-d584-4fb1-b81f-5072517a3e11.png,0,Gnani ai,Personal,,independent,public,False,featured,
evt-ClbuGF6IvDWDXgg,TSOW HR Leaders Dinner in Mumbai,https://lu.ma/gn1hy0py,2026-05-21T13:00:00.000Z,2026-05-21T16:30:00.000Z,Asia/Kolkata,offline,Mumbai,Income Tax Colony,India,19.0675,72.87,https://images.lumacdn.com/uploads/ua/9186153d-6126-4eb7-b0aa-286e7629dadc.png,0,The Shape of Work by Springworks,Personal,,independent,public,False,snowball,
evt-LwCtHUjgTnkBRxA,Serendipity - Leadership Dinner,https://lu.ma/1vfgd8un,2026-05-21T13:30:00.000Z,2026-05-21T16:00:00.000Z,Asia/Kolkata,offline,Mumbai,,India,18.9575,72.8325,https://images.lumacdn.com/uploads/u6/1cc72605-9ef5-4aa7-878c-82cccc6cdf96.jpg,0,"The Product Folks 🚀, Aditya Mohanty",The Product Folks,theproductfolks,independent,public,False,snowball,Tech
evt-zjpiJ8TaMZSzXY3,Agents & APIs Mumbai Developer Meetup,https://lu.ma/postman-meetup-mumbai,2026-05-23T04:30:00.000Z,2026-05-23T08:30:00.000Z,Asia/Kolkata,offline,Mumbai,Seepz,India,19.1218702,72.8726109,https://images.lumacdn.com/uploads/09/c6b84980-4031-41f6-9309-3973557e6e2e.png,209,Aanchal Mishra,Postman Developer Events,postman-dev-events,independent,public,False,featured,
evt-w6E4baznX2aixdC,NVIDIA Nemotron 3 Super – Workshop,https://lu.ma/ji549zap,2026-05-23T04:30:00.000Z,2026-05-23T10:00:00.000Z,Asia/Kolkata,offline,Mumbai,Ambedkar Nagar,India,19.07,72.875,https://images.lumacdn.com/uploads/2e/96b4e276-ee6e-4e38-9a97-74571a4d7eef.jpg,242,"Nihal Kashinath, Talib Sayyed, Megh Makwana, Amit Kumar, Arundhati Banerjee, Kavita Aroor, Bharat Giddwani",AI Events by Deep Tech Stars,deeptechstars,independent,public,False,featured,
evt-SJwgvjExuTMPOVc,BreachForce Meetup 14: May Edition,https://lu.ma/p0oy521i,2026-05-23T05:30:00.000Z,2026-05-23T09:30:00.000Z,Asia/Kolkata,offline,Mumbai,Sector 4,India,19.0332725,73.0639935,https://images.lumacdn.com/gallery-images/fv/9ca2825f-781f-48c2-bc21-7dd90ac2d3ef,84,"BreachForce, Kaustubh Rai, Sumir Broota, Rehan Shaikh, Saurabh Tiwari",BreachForce Meetup,breachforce,independent,public,False,featured,
evt-63mckGgCrFDjnIj,Swift Mumbai Meetup - Summer Edition,https://lu.ma/orgk8gjp,2026-05-23T09:00:00.000Z,2026-05-23T12:00:00.000Z,Asia/Kolkata,offline,Mumbai,Vidyanagar,India,19.072472599999998,72.9003127,https://images.lumacdn.com/uploads/vv/3fa0ab73-ee5d-40c5-a2ed-cca9636b5aa7.jpg,105,"Yogesh Singh, Akanksha Sharma, Rushit Rakhasiya, Nishant Desai, Swift Mumbai",Personal,,independent,public,False,featured,
evt-WNTubpJMTOF73DD,Pen Fight Tournament,https://lu.ma/zcq1t32z,2026-05-24T08:30:00.000Z,2026-05-24T11:30:00.000Z,Asia/Kolkata,offline,Mumbai,Aram Nagar Part 1,India,19.1305758,72.8163178,https://images.lumacdn.com/uploads/nr/27847774-a335-486a-9eec-a381705aec2c.png,7,"Uhtend, Anthony Stephen Mendes, Cat Café Studio",Uhtend - discover events in Mumbai with a subscription.,uhtend,independent,public,False,snowball,
evt-fJGUtUZbqwD1hAy,Mumbai | Claude — The C-Suite Table,https://lu.ma/uafew8hs,2026-05-27T14:30:00.000Z,2026-05-27T17:00:00.000Z,Asia/Kolkata,offline,Mumbai,Andheri East,India,19.1,72.88,https://images.lumacdn.com/uploads/ie/b2dc1889-881a-4ef8-bc7c-038546f762c6.png,0,Sumeet G Doshi,Claude Community Events,claudecommunity,independent,public,False,featured,
evt-QKfDvCD6dRTxuUX,Bits N Atoms - AI Mixer | TPF x Figma,https://lu.ma/1qqbh0tp,2026-05-29T13:30:00.000Z,2026-05-29T16:00:00.000Z,Asia/Kolkata,offline,Mumbai,Bandra Kurla Complex,India,19.055,72.85,https://images.lumacdn.com/uploads/8v/48556416-3244-4cd7-a684-346963038256.jpg,0,"The Product Folks 🚀, Aditya Mohanty",The Product Folks,theproductfolks,independent,public,False,featured,
evt-3MtFJvBkiDNFrJy,AgentCamp Mumbai,https://lu.ma/lw1ta4dc,2026-05-30T04:30:00.000Z,2026-05-30T08:30:00.000Z,Asia/Kolkata,offline,Mumbai,MMRDA Area,India,19.0692427,72.8616413,https://images.lumacdn.com/uploads/ve/cc2b80f6-de8c-42d3-bee6-c93a0f24262d.png,0,"Nilesh Shinde, Manthan Singh, Esha Hinde",Personal,,independent,public,False,featured,
evt-xEI6RlOeYakb0zc,Kitty Party,https://lu.ma/1mxeqsz6,2026-05-30T05:30:00.000Z,2026-05-30T07:30:00.000Z,Asia/Kolkata,offline,Mumbai,I C Colony,India,19.2546402,72.8490824,https://images.lumacdn.com/event-covers/tu/5917b6bf-e060-42f8-b6ea-44f2356e4acd.png,22,"Seena Hamirani, Reyana",Personal,,independent,public,False,featured,
