event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-5dwcHhuxqf6HS0f,New Delhi | Claude for Everyone,https://lu.ma/pq3yw9zu,2026-05-09T05:00:00.000Z,2026-05-09T09:00:00.000Z,Asia/Kolkata,offline,Noida,Film City,India,28.5675,77.3175,https://images.lumacdn.com/event-covers/6r/eb29a200-b7da-4d55-a0e1-e772f4e1cf84.png,0,"Shubhangi Gupta, Vipul Gupta",Claude Community Events,claudecommunity,independent,public,True,featured,
evt-5z2HIMGnprRHDPl,Build with Gemma 4 (AIC Delhi),https://lu.ma/aic-de-5-9,2026-05-09T05:30:00.000Z,2026-05-09T10:00:00.000Z,Asia/Kolkata,offline,Gurugram,Silokhera,India,28.4625,77.05,https://images.lumacdn.com/uploads/u7/ddb2f290-5c7a-4bef-ab58-ab5ed317494c.png,0,"The AI Collective, Shresth Shukla, Khush, Khyati Mehra, Dr. Ishaan Wadhwa, Dhruv Pamneja",The AI Collective,genai-collective,independent,public,False,featured,
evt-FaBHkAmrnKLJj9x,"Logos Circle: Delhi-NCR, India",https://lu.ma/qt0wqz6x,2026-05-09T10:30:00.000Z,2026-05-09T13:00:00.000Z,Asia/Kolkata,offline,Noida,D Block,India,28.5825,77.3175,https://images.lumacdn.com/event-covers/ho/953e4189-01c5-48d0-8849-31942843aaef.png,87,"Devisha Gupta, Logos, Builder Base",Logos,logosevents,independent,public,False,featured,
evt-VuHpT5Bkwr1h3Od,POOR MAN'S HYROX,https://lu.ma/cesbygdm,2026-05-09T13:30:00.000Z,2026-05-09T16:30:00.000Z,Asia/Kolkata,offline,New Delhi,Chanakyapuri,India,28.5882009,77.19027229999999,https://images.lumacdn.com/uploads/ef/b297086d-7edf-4639-8ed4-8f4b941b9c25.jpg,20,Mian mohammad raza ,Personal,,independent,public,False,featured,
evt-e2HqqyQxCtYuAw4,The Sun Run Fun,https://lu.ma/zzcqysn7,2026-05-10T00:00:00.000Z,2026-05-10T04:00:00.000Z,Asia/Kolkata,offline,Delhi,West Punjabi Bagh,India,28.6654685,77.1309852,https://images.lumacdn.com/uploads/ys/41118448-121d-4a7c-b4e7-46b43d46507a.jpg,128,Fly Young Club,Personal,,independent,public,False,featured,
evt-pVnRcIsIlOvhSTS,No Friends? No Worries 😉,https://lu.ma/xo370914,2026-05-10T00:30:00.000Z,2026-05-10T02:30:00.000Z,Asia/Kolkata,offline,Faridabad,Sector 84,India,28.4067053,77.36459719999999,https://images.lumacdn.com/uploads/ba/fceb1d4f-c45f-43e9-8ddd-ebfa0514e33c.jpg,150,RunNexis Club,Personal,,independent,public,False,featured,
evt-YSxg6UqKBToQNoi,Sunday URC Run,https://lu.ma/7bc2pfay,2026-05-10T00:30:00.000Z,2026-05-10T04:00:00.000Z,Asia/Kolkata,offline,Delhi,Bahubali Enclave,India,28.655951699999996,77.30545649999999,https://images.lumacdn.com/uploads/4f/e35cc8a3-ef0e-4d5e-8fa1-b61d007a191b.jpg,49,"Nikunj Tomar, United Runners, Jatin Malhotra, Nishant Aneja",Personal,,independent,public,False,featured,
evt-bdpbk7xrFwSjC42,Sanjay Van– 5K | Sunday Trail Run 🏃‍♂️🌿✨,https://lu.ma/an9gu0ex,2026-05-10T01:00:00.000Z,2026-05-10T05:00:00.000Z,Asia/Kolkata,offline,New Delhi,Block B,India,28.5369879,77.1818847,https://images.lumacdn.com/uploads/5p/ab46ba5d-885f-433d-b2a9-4a211601e604.jpg,21,Run Junction,Personal,,independent,public,False,featured,
evt-ljyQoQJFbM44j6t,Sun-kissed 5km,https://lu.ma/29obwrxa,2026-05-10T01:00:00.000Z,2026-05-10T03:30:00.000Z,Asia/Kolkata,offline,New Delhi,Block X,India,28.553216,77.2079461,https://images.lumacdn.com/uploads/7d/ace4287e-5ded-4471-9795-b4f0343bb63c.jpg,0,DelhiRunCollective,Personal,,independent,public,False,featured,
evt-WyQW1Cc0p4bZvYe,Geek Room Meetup 3.0,https://lu.ma/uza47084,2026-05-10T03:30:00.000Z,2026-05-10T12:30:00.000Z,Asia/Kolkata,offline,Gurugram,Maruti Udyog,India,28.4918926,77.0742545,https://images.lumacdn.com/uploads/kj/0e779cdc-fd96-41fe-913f-801a56a3e53b.png,240,Geek Room Team,Personal,,independent,public,False,featured,
evt-PGNAio4KHGy6Ab0,Flex And Frequency Delhi,https://lu.ma/kzpskkiu,2026-05-10T10:30:00.000Z,2026-05-10T14:30:00.000Z,Asia/Kolkata,offline,Faridabad,Village Lakarpur,India,28.4885111,77.2894098,https://images.lumacdn.com/uploads/tf/e6f055cc-f225-4622-9914-95607cc68026.png,69,TheGymCollective,Personal,,independent,public,False,featured,
evt-ol0kG6zsA9NaM5l,TFC x Vietnam-ease Càphê,https://lu.ma/uwku9qfn,2026-05-10T14:30:00.000Z,2026-05-10T17:00:00.000Z,Asia/Kolkata,offline,Gurugram,Sector 43,India,28.4605486,77.09511719999999,https://images.lumacdn.com/uploads/z0/e94b21eb-ad59-4150-aef2-b1103169f1d7.png,0,The Food Club Delhi,Personal,,independent,public,False,featured,
evt-DiwS0dzcAoHjAUU,Founders' White Soirée| Delhi,https://lu.ma/29oxqxb3,2026-05-16T04:30:00.000Z,2026-05-16T13:30:00.000Z,Asia/Kolkata,offline,Gurugram,,India,28.4594965,77.0266383,https://images.lumacdn.com/uploads/di/64ed581d-eeba-4c42-bc63-baf6240027e3.jpg,0,Tech BFC,Personal,,independent,public,False,featured,
evt-HxBY60gbLQJDsco,CodeFusion,https://lu.ma/08cawkx6,2026-05-16T04:30:00.000Z,2026-05-16T11:30:00.000Z,Asia/Calcutta,offline,Gurugram,Sector 59,India,28.4073057,77.11876319999999,https://images.lumacdn.com/gallery-images/ry/bd098b7b-aae7-495c-9b4d-2ff4c014a61e,0,Tech4hack,Personal,,independent,public,False,snowball,Tech
evt-auEODIlh1lW6QWV,Build Your Agent With IronClaw | Near Legion India,https://lu.ma/0bunr9jj,2026-05-16T05:30:00.000Z,2026-05-16T08:30:00.000Z,Asia/Kolkata,offline,New Delhi,Nehru Place,India,28.5499013,77.2535322,https://images.lumacdn.com/event-covers/pi/87861303-ce24-4a51-b5f6-60b856275acd.png,206,"Prakhar Ojha, Zubair Ansari",Legion Events Calendar,near-legion,independent,public,False,featured,
evt-k5dPrypHcUjnUUU,Performance by Murari Jha | The Future of Nostalgia,https://lu.ma/lio57jhm,2026-05-16T11:30:00.000Z,2026-05-16T12:30:00.000Z,Asia/Kolkata,offline,New Delhi,Pocket D,India,28.504041599999997,77.1849323,https://images.lumacdn.com/uploads/yu/8c97ebfc-d81d-4f1a-9cbe-15fa9c1e96d9.jpg,20,NATURE MORTE,Nature Morte,,independent,public,False,featured,
evt-r1WUaqalmsg4wQA,Brush hour - Paint and Connect!,https://lu.ma/i7d5rv9l,2026-05-17T11:30:00.000Z,2026-05-17T13:30:00.000Z,Asia/Kolkata,offline,New Delhi,Panchsheel Park North,India,28.5475,77.21,https://images.unsplash.com/photo-1541961017774-22349e4a1262?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjQyMjF8MHwxfHNlYXJjaHw4fHxwYWludGluZ3xlbnwwfHx8fDE3Nzc3ODIwNzl8Mg&ixlib=rb-4.1.0&q=80&w=1080,21,Abhishek Basu,Personal,,independent,public,False,featured,
evt-U6A6bnKw9CdnlFl,-1 to Deep Kalra | SPC India | Gurugram,https://lu.ma/deepkalra,2026-05-20T11:00:00.000Z,2026-05-20T13:30:00.000Z,Asia/Kolkata,offline,Gurugram,Phase II,India,28.5025,77.0925,https://images.lumacdn.com/uploads/c3/562be7c6-f149-4fe2-8f7f-2f9ce8843364.png,0,South Park Commons,SPC India Events,spc-india,independent,public,False,snowball,Tech
evt-IY7hXndn3sLAbH4,Trae Presents DevHack,https://lu.ma/8fah6ms0,2026-05-23T04:30:00.000Z,2026-05-23T11:30:00.000Z,Asia/Kolkata,offline,Noida,Sector 136,India,28.5050275,77.398988,https://images.lumacdn.com/uploads/x1/a6297564-7243-49e5-9719-ac8862a7311b.png,0,Tech4hack,Personal,,independent,public,False,featured,
