event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-d55yyP4vJnkiehO,"Pune Exclusive Invite for Students Admission Heads, TPOs Placement Leaders to an evening of ""Life Beyond Classrooms"" by Yukio and Shapers",https://lu.ma/qco8p5t0,2026-05-29T11:30:00.000Z,2026-05-29T16:00:00.000Z,Asia/Kolkata,offline,Pimpri-Chinchwad,Bhujbal Vasti,India,18.589180799999998,73.7577709,https://images.unsplash.com/photo-1570356811230-2f3b816ebb29?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMjQyMjF8MHwxfHNlYXJjaHw3fHxwdW5lfGVufDB8fHx8MTc3OTIwODk2MHwy&ixlib=rb-4.1.0&q=80&w=1080,0,Ashish Gakrey ,Ashish Gakrey - HR Shapers,,independent,public,False,snowball,
evt-T50GBfTEl5Cjk38,AWS FIS DEMO - Chaos Engineering In Action,https://lu.ma/23e67bdl,2026-05-30T04:00:00.000Z,2026-05-30T06:30:00.000Z,Asia/Kolkata,offline,Pune,Kalyani Nagar,India,18.5471362,73.8982106,https://images.lumacdn.com/uploads/7e/3b3c2e6b-2527-4f9e-9a3f-0df03fa8473a.jpg,56,Sagar Sawant,Personal,,independent,public,False,snowball,Tech
evt-ALVkGjTtKKChsNb,JS Pune #04,https://lu.ma/jlu4sl6k,2026-05-30T04:30:00.000Z,2026-05-30T09:30:00.000Z,Asia/Kolkata,offline,Pune,Patil Nagar,India,18.5765933,73.76527399999999,https://images.lumacdn.com/event-covers/gi/66f1f15d-fb98-4896-9b0d-5ee008a82e12.png,147,"JS Community, Jagdip Pathare, Palak Gupta, Pranali Pawar, VIKRANT KHEDKAR, Shri Shah, Smridhi Gupta, Pooja lande",Personal,,independent,public,False,snowball,Tech
evt-JwSBjGpowNkMABf,Breakfast w/ Builders (Pune Edition),https://lu.ma/6bce0trr,2026-05-30T05:00:00.000Z,2026-05-30T07:30:00.000Z,Asia/Kolkata,offline,Pune,Bhoslenagar,India,18.545,73.8325,https://images.lumacdn.com/event-covers/tg/8571f5e0-36eb-4005-b31c-0344074326d9.png,0,"Arun, Almas",VideoDB,videodb,independent,public,False,snowball,AI
evt-0dHLftTXH9vAgX9,TDC PUNE MEETUP #5,https://lu.ma/t4s6l6zt,2026-05-30T10:30:00.000Z,2026-05-30T13:30:00.000Z,Asia/Kolkata,offline,Pune,Ashok Chakra Society,India,18.5384134,73.8986074,https://images.lumacdn.com/event-covers/r6/d9492ffb-5388-4acd-b910-7fb41988769a.jpg,24,Ameya Upalanchi,THE DRONE COMMUNITY PUNE,,independent,public,False,snowball,Tech
evt-3C6s8IVdOzOnBoA,1 DAY MODELING MASTERCLASS -PUNE,https://lu.ma/ds9sri5q,2026-05-31T08:30:00.000Z,2026-05-31T12:30:00.000Z,Asia/Kolkata,offline,Pune,Kalyani Nagar,India,18.5492468,73.90317859999999,https://images.lumacdn.com/uploads/2i/4dd4b1a8-86a5-49e4-b5f6-240765fe15cc.png,98,Model Mentor,Personal,,independent,public,False,snowball,Arts & Culture
evt-yyQUFmzPVUZhzMf,Impact D2C- Privé,https://lu.ma/hzkydql3,2026-06-04T13:30:00.000Z,2026-06-04T16:30:00.000Z,Asia/Kolkata,offline,Pune,,India,18.5246091,73.8786239,https://images.lumacdn.com/uploads/a2/15e9c3d9-e2f5-445d-9bee-9a7ba7c7fdb2.png,0,Ideas to Impacts Hub,Personal,,independent,public,False,snowball,Tech
evt-FKMKiE6h3q7t3oS,Build Your Business with Dhan! 🚀,https://lu.ma/z0qum0ao,2026-06-05T10:30:00.000Z,2026-06-05T13:00:00.000Z,Asia/Kolkata,offline,Pune,Shivajinagar,India,18.521852,73.846013,https://images.lumacdn.com/gallery-images/ry/bd098b7b-aae7-495c-9b4d-2ff4c014a61e,0,Dhan,Personal,,independent,public,False,snowball,
evt-9kqjYeK2kLFXFn3,"PCU PBS HR Leadership Summit & HR Excellence Awards Nights in association with HR Shapers, iSkillbox & Cobuzz",https://lu.ma/unvteg6e,2026-06-06T10:30:00.000Z,2026-06-06T15:00:00.000Z,Asia/Kolkata,offline,पुणे,नॅशनल गेम्स पार्क,India,18.5707794,73.7644648,https://images.lumacdn.com/uploads/vd/f6298198-674e-4b9e-b77d-7f2f570cf20b.jpg,0,"Ashish Gakrey , Dr. Pranav Charkha, Dr. Minakshi Tyagi, Shruti Tyagi",Ashish Gakrey - HR Shapers,,independent,public,False,snowball,
evt-NaBkKEKGpMmW70P,"Pune HR Excellence Awards Nights by PCU PBS in association with HR Shapers, iSkillbox & Cobuzz",https://lu.ma/s9dkyxub,2026-06-06T10:30:00.000Z,2026-06-06T15:00:00.000Z,Asia/Kolkata,offline,पुणे,नॅशनल गेम्स पार्क,India,18.5707794,73.7644648,https://images.lumacdn.com/uploads/qm/cd8b0f21-c094-4fce-b3f6-7e458570f04c.jpg,144,"Ashish Gakrey , Dr. Pranav Charkha, Dr. Minakshi Tyagi, None None, None None",Ashish Gakrey - HR Shapers,,independent,public,False,snowball,
evt-UYeM0WVDuA2cgf6,TSOW HR Meetup in Pune,https://lu.ma/fkhhts1s,2026-06-06T10:30:00.000Z,2026-06-06T13:30:00.000Z,Asia/Calcutta,offline,Pune,,India,18.525,73.8775,https://images.lumacdn.com/event-covers/wk/16b54614-8412-4c84-9111-79a307380334.png,75,The Shape of Work by Springworks,"The Shape of Work, powered by SpringVerify",theshapeofworkbyspringworks,independent,public,False,snowball,
evt-5IgN0NjGkmcWAGw,Codex Community Hackathon - Pune,https://lu.ma/d4srtk7l,2026-06-14T02:30:00.000Z,2026-06-14T12:30:00.000Z,Asia/Kolkata,offline,Pune,,India,18.525,73.8775,https://images.lumacdn.com/uploads/cn/fc8b6e5a-04eb-453f-a0dc-470f6742c915.png,0,"AMAN MOGAL, Gabriel Chua",Localdev,localdev,independent,public,False,snowball,AI
