event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source
evt-AujGOcztyqnpElW,"🚀 Innovate, Stay & Connect in Bubbl Houses – #SG2026",https://lu.ma/t8qf02un,2026-04-27T22:00:00.000Z,2026-04-29T18:00:00.000Z,America/Los_Angeles,offline,Redwood City,,United States,37.4847955,-122.22814100000001,https://images.lumacdn.com/event-covers/gj/c178af66-dc2f-48ad-a4d2-1ad54e3cbad1.png,3,"Hayley Melidonis, Alexis Augoustis, Mike Ramirez",Bubbl social houses for major events,letsbubbl,independent,public,False,snowball
evt-bDHMmsbqaCNg6Yb,SF | Claude for Technical Founders,https://lu.ma/0bkgs4jg,2026-04-28T00:00:00.000Z,2026-04-28T03:30:00.000Z,America/Los_Angeles,offline,San Francisco,Financial District,United States,37.79,-122.4,https://images.lumacdn.com/event-covers/44/7be5b0a5-23b0-491b-b33e-8f4ac5302b2f.png,0,"Vik Ghai, Sunil Grover, Amar Chokhawala",Claude Community Events,claudecommunity,independent,public,False,featured
evt-VgHHFsY09hxhWPs,Mad ⚫ Meetup SF - AI Engineering and Deep Research,https://lu.ma/chrosg7x,2026-04-28T00:00:00.000Z,2026-04-28T03:00:00.000Z,America/Los_Angeles,offline,San Francisco,Union Square,United States,37.7875,-122.4025,https://images.lumacdn.com/event-covers/fi/20ac66e9-281c-45d1-b7e3-b8b602aad964.png,138,"William Imoh, WorkOS, Emil Anker Wiik",AI Mad Lab,aimadlab,independent,public,False,snowball
evt-BQQbeRzvToH4eIu,Batter Up! San Francisco,https://lu.ma/kd7iicry,2026-04-28T01:00:00.000Z,2026-04-28T03:30:00.000Z,America/Los_Angeles,offline,San Francisco,Union Square,United States,37.79,-122.405,https://images.lumacdn.com/event-covers/vy/4650245f-667f-4c56-a5dd-55a5bf6cb1ad.png,0,"Hustle Fund, Brooke LeBlanc, Laura Dang",Hustle Fund Events,hustlefund,independent,public,False,featured
evt-BuqcRcP6Ms84jhk,Builders & Brews,https://lu.ma/g7vslxuv,2026-04-28T01:00:00.000Z,2026-04-28T05:00:00.000Z,America/Los_Angeles,offline,San Francisco,Union Street,United States,37.7975,-122.425,https://images.lumacdn.com/event-covers/1u/4bba37e8-4605-4893-a98a-4b3ba167bd17.jpg,452,"Tavily Community, Waqas Makhdum, Colin @ Nebius, Alice Lin, Uli Barkai, Stefan Webb, Ashwin M",Nebius,nebius-builders,independent,public,False,featured
evt-znFvyKp2lTGeDvv,Livecoding Music - Beat DJ Workshop,https://lu.ma/dz9eq800,2026-04-28T01:30:00.000Z,2026-04-28T05:30:00.000Z,America/Los_Angeles,offline,San Francisco,Union Square,United States,37.7861601,-122.4082452,https://images.lumacdn.com/gallery-images/n0/20745b53-9819-4dc7-a541-ffdc562afd2d.png,1,Nes Croft,Events by Nes,nes,independent,public,False,snowball
evt-K0PpS7zqq7JBkga,VC-Founder Office Hours Social: SCALE + GLO + Roundtable VC,https://lu.ma/is6xgwa6,2026-04-28T01:30:00.000Z,2026-04-28T04:00:00.000Z,America/Los_Angeles,offline,San Francisco,Mid-Market,United States,37.78,-122.415,https://images.lumacdn.com/event-covers/ub/f1e6c137-7f7d-4718-bded-4930bed528b4.png,0,"GLO | Global Entrepreneurs Hub, GMI Cloud, Yangchen, Nicole Gong, Eli Al-Shamari",GLO (Global Entrepreneurs Hub),glo_community,independent,public,False,snowball
evt-F1O9MBKnhkfAt4U,European Tech Connect: Rooftop Party,https://lu.ma/epf4jgpo,2026-04-28T02:00:00.000Z,2026-04-28T06:00:00.000Z,America/Los_Angeles,offline,San Francisco,China Basin,United States,37.7825,-122.395,https://images.lumacdn.com/event-covers/f1/0b22e92c-c11e-4184-b2c4-c206d19f85e0.png,0,"TRMNL4, Tania Ladanova, Vladimira Cincurova, Diana Placiakiene, European Startup Embassy, Don Collins",Personal,,independent,public,False,featured
evt-nlKhBVpPZ5xGAX5,"The Ancient Greek Calendar: Culture, Politics, and Sacrifice",https://lu.ma/6br7dbpn,2026-04-28T02:00:00.000Z,2026-04-28T04:00:00.000Z,America/Los_Angeles,offline,Berkeley,West Berkeley,United States,37.8779724,-122.30227729999999,https://images.lumacdn.com/event-covers/zx/8e1fd949-29c0-4fe4-bbb9-4b48afc8ebbf.png,101,Big Brain SF,Big Brain Lectures - SF,Big-Brain-SF,independent,public,False,snowball
evt-h3W7HSADe6eIThN,Startup Grind Conference 2026,https://lu.ma/lvcq9epq,2026-04-28T16:00:00.000Z,2026-04-30T00:00:00.000Z,America/Los_Angeles,offline,Redwood City,Centennial,United States,37.4863153,-122.2296145,https://images.lumacdn.com/event-covers/jk/b858044b-0d6a-4a1d-9cb5-f2029cdc8050.webp,0,"Startup Grind, James Gee, Guillermo Vizcaino, Dr. Paul Fang, Bia Gianfelice Mendes, GLO | Global Entrepreneurs Hub",Startup Grind,,independent,public,False,featured
