event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-aS5PXG0iO9ID1fG,Founders' Mondays: Strengthening the Signals - Customers,https://lu.ma/e1dyhgp4,2026-05-11T02:00:00.000Z,2026-05-11T10:00:00.000Z,Asia/Singapore,offline,Singapore,Central Area,Singapore,1.2913588,103.83943819999999,https://images.lumacdn.com/uploads/jx/191dc483-b427-49ba-894a-541b62b1062e.png,27,SQ Collective,SQ Collective,Ai-labs,independent,public,False,snowball,AI
evt-XbUiaMJ3qfrwLK2,Founders' Roundtable Lunch: The Growth Calculus,https://lu.ma/200ei1qy,2026-05-11T04:00:00.000Z,2026-05-11T06:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.2925,103.7725,https://images.lumacdn.com/uploads/9v/fbfbdede-2143-4997-9c01-95e45504bffb.png,0,BLOCK71 Singapore,BLOCK71 Singapore,b71singapore,independent,public,True,featured,
evt-06BIYu2tg6RdMzo,Makeup Masterclass,https://lu.ma/zrp00wpv,2026-05-11T05:45:00.000Z,2026-05-11T08:00:00.000Z,Asia/Singapore,offline,Singapore,Toa Payoh,Singapore,1.3385970000000003,103.8718109,https://images.lumacdn.com/uploads/s4/012ffaf4-1c05-4097-9c59-b99554e7cd06.png,9,The Social Bellas,Personal,,independent,public,False,snowball,
evt-RudTgMRkgBncY0S,Codex for Everyone - An Introductory Workshop,https://lu.ma/b0s6uso8,2026-05-11T06:30:00.000Z,2026-05-11T09:00:00.000Z,Asia/Singapore,offline,Singapore,Downtown Core,Singapore,1.28,103.855,https://images.lumacdn.com/uploads/vp/19dce3c7-f2c0-4ab5-9219-e956a9dbd345.jpg,0,"Gabriel Chua, Shaun",Personal,,independent,public,False,featured,
evt-D6pfLm8BoM5HX3T,How Research Agentic Systems Are Actually Built: From ReAct to the AI Scientist,https://lu.ma/y7825sm1,2026-05-11T07:00:00.000Z,2026-05-11T09:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/event-covers/se/6129ae39-5ee5-4a95-9321-109438c55044.jpg,0,Lorong AI,Lorong AI,lorong-ai,independent,public,False,snowball,AI
evt-NTemANuQfHsOBNm,Pigeon Circles: Career Break / Burnout Girlies (20s/30s),https://lu.ma/9va6f17u,2026-05-11T10:00:00.000Z,2026-05-11T12:00:00.000Z,Asia/Singapore,offline,Singapore,,Singapore,1.2991945999999999,103.91126969999999,https://images.lumacdn.com/uploads/ts/837f2944-1419-4d2d-ada1-59433d018cc1.png,9,Screaming Pigeons,Personal,,independent,public,False,snowball,Wellness
evt-lhXRHYJuCRGQNfO,Codex Hack Night (Computer Use) @ Lorong AI,https://lu.ma/pbk5bb32,2026-05-11T10:30:00.000Z,2026-05-11T13:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.295,103.7875,https://images.lumacdn.com/event-covers/bd/d4cc74b7-3430-4737-bb38-4fb9f74d61c6.png,0,"Gabriel Chua, Lorong AI, Yong Quan Tan",Personal,,independent,public,False,featured,
evt-R7LdXPCFji10QlQ,Unlocking Taiwan × Singapore: Where Capital Meets Startups,https://lu.ma/rp69lnu7,2026-05-12T10:00:00.000Z,2026-05-12T12:30:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.2925,103.775,https://images.lumacdn.com/uploads/69/80f014bd-95a3-42e8-aaa9-cf8d8066ac93.jpg,270,"Chi Ko, TVCA中華民國創業投資商業同業公會, BLOCK71 Singapore",Personal,,independent,public,True,featured,
evt-WvjdHSEWPX7S4lL,Singapore AI Founders VIP Dinner,https://lu.ma/sgaifounders,2026-05-12T10:00:00.000Z,2026-05-12T13:00:00.000Z,Asia/Singapore,offline,Singapore,Chinatown,Singapore,1.28,103.8425,https://images.lumacdn.com/uploads/or/b81c5fa7-a12c-421e-b862-d0bcb9c53539.png,0,AI Builders,AI Builders,theaibuildersdev,independent,public,False,snowball,AI
evt-DT9MHVILK2rZS4Z,OpenClaw Singapore Happy Hours - Agentic Night,https://lu.ma/0lvkt2nv,2026-05-12T10:00:00.000Z,2026-05-12T13:00:00.000Z,Asia/Singapore,offline,Singapore,Chinatown,Singapore,1.2775,103.845,https://images.lumacdn.com/event-covers/b6/fa8347f1-f712-4cb4-962a-b1c05d9109aa.jpg,8,Lionel Sim,Personal,,independent,public,False,snowball,AI
evt-rL8VgNAOGnXl9vF,Personal Agents Demo Night,https://lu.ma/6frwv8k9,2026-05-12T10:30:00.000Z,2026-05-12T12:30:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/uploads/42/4f8914e7-9a59-4982-9766-6434e5cd21ff.png,0,"Lorong AI, Zo Computer team, Phil Hedayatnia, Min @Airfoil, Joe",Zo Computer,zocomputer,independent,public,False,featured,
evt-wciAY4wU6T9GkEm,Singapore AI & Robotics Demo Night (May 2026),https://lu.ma/n92nh33p,2026-05-12T10:30:00.000Z,2026-05-12T12:30:00.000Z,Asia/Singapore,offline,Singapore,Bras Basah,Singapore,1.2975884,103.8543081,https://images.lumacdn.com/event-covers/oi/3f64f340-a7e8-410d-88c4-ffba55e5f9fd.jpg,0,Menlo Research,Singapore AI & Robotics Demo Nights,singapore-demo-nights,independent,public,False,featured,
evt-dM8SGMQYz38TEdM,Google Cloud x DeepMind: What's New for Startups?,https://lu.ma/p73a9u0l,2026-05-13T01:00:00.000Z,2026-05-13T02:30:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.2761806999999998,103.8000401,https://images.lumacdn.com/uploads/93/923f405c-70e7-43fe-818c-3365edf745b7.jpg,13,"Fannie Soubiele, Clement",Personal,,independent,public,False,featured,
evt-Swywbaj5C8Jm0du,City Girl Walk,https://lu.ma/q0iax6g2,2026-05-13T01:15:00.000Z,2026-05-13T04:30:00.000Z,Asia/Singapore,offline,Singapore,Outram,Singapore,1.2850731,103.8437719,https://images.lumacdn.com/uploads/bt/264875b1-3a94-41d2-9e37-43f59a8e3714.png,5,The Social Bellas,Personal,,independent,public,False,featured,
evt-pXu2NLKIoYN7jb9,SGInnovate x IMD Tech Talk for Leaders: Leading at the Frontiers of Innovation,https://lu.ma/610mfdmy,2026-05-13T02:00:00.000Z,2026-05-13T05:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.305,103.7875,https://images.lumacdn.com/gallery-images/2b/9d9ee6ac-3d35-4fce-ade7-3f0ee7216dac,0,"Alan Chang, An Ting Lim, Priscilla , Wan Rou Gan, None None",Personal,,independent,public,False,featured,
evt-Pmq8vC1PcdI5yGr,AIBots x Transcribe Workshop (Public Officers Only),https://lu.ma/9o7cvafs,2026-05-13T02:00:00.000Z,2026-05-13T05:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/event-covers/bd/d4cc74b7-3430-4737-bb38-4fb9f74d61c6.png,0,Lorong AI,Lorong AI,lorong-ai,independent,public,False,snowball,AI
evt-YaXQ6QQ7oVhYn08,The One About AI x Healthcare (Round V),https://lu.ma/mqttcn0j,2026-05-13T07:00:00.000Z,2026-05-13T09:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/event-covers/z3/b79dda64-61b1-40d5-a865-490604434a7b.png,0,Lorong AI,Lorong AI,lorong-ai,independent,public,False,snowball,AI
evt-PAbWnFTq7hOSODP,"""Real-Time Sync"" w/ Convex Team in Singapore",https://lu.ma/9guwajbq,2026-05-13T09:30:00.000Z,2026-05-13T12:00:00.000Z,Asia/Singapore,offline,Singapore,Central Area,Singapore,1.2825,103.85,https://images.lumacdn.com/event-covers/41/ba7ebe22-6b6e-46a6-a42f-95a656d6dc12.png,131,"Wayne Sutton, Convex Events, Liz Cardoza, Michael Cann, Sherry Jiang, Ivan, Agrim Singh, Max Del Vita",Convex.dev,convex,independent,public,False,featured,
evt-FblXYcRQgwP4qWX,Codex Hack Night (Realtime Models) @ Lorong AI,https://lu.ma/4v97ndhx,2026-05-13T10:00:00.000Z,2026-05-13T13:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/event-covers/bd/d4cc74b7-3430-4737-bb38-4fb9f74d61c6.png,0,"Gabriel Chua, Lorong AI",Personal,,independent,public,False,featured,
evt-EF2IK2KPYR2sWau,Forex Truth with Jimmy Wong (Founder of JF Lennon),https://lu.ma/nhszinia,2026-05-13T11:00:00.000Z,2026-05-13T13:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.3044274,103.796741,https://images.lumacdn.com/event-covers/c3/cb8dc0b3-3415-42de-8942-1521bda42ce7.png,14,Emily,Personal,,independent,public,False,snowball,
evt-4Yk88tTBexZ5obM,DAA x GMC Workshop: Bhutan Opportunities In Digital Assets,https://lu.ma/x7asxtgu,2026-05-14T06:00:00.000Z,2026-05-14T09:00:00.000Z,Asia/Singapore,offline,Singapore,Central Area,Singapore,1.2800321,103.8493652,https://images.lumacdn.com/event-covers/ph/07237bf8-4886-4832-ab76-6662da075105.png,147,"Team DAA, Cecilia Sha, Jag Foo, Danny Chong",Personal,,independent,public,False,featured,
evt-KhPIVGR3ocl4ss6,AI-First Transformation Journey: From Hesitation to Confidence,https://lu.ma/u5x94nln,2026-05-14T06:00:00.000Z,2026-05-14T08:00:00.000Z,Asia/Singapore,offline,Singapore,Queenstown,Singapore,1.296139,103.786991,https://images.lumacdn.com/event-covers/zh/3b793bf3-159c-4b78-b438-785ae164865f.png,0,Lorong AI,Lorong AI,lorong-ai,independent,public,False,snowball,AI
evt-77azkXdh5c0fRf9,OPENCLAW HACKATHON — Build Business with OpenClaw,https://lu.ma/m9f9nwxa,2026-05-14T09:00:00.000Z,2026-05-14T14:00:00.000Z,Asia/Singapore,offline,Singapore,Katong,Singapore,1.3050787,103.9033741,https://images.lumacdn.com/event-covers/46/9fd3a4fc-f9af-4a7f-b414-10ed85471483.png,0,"Singapore Global Network, None None, Rupini A, GrowthLab",Singapore Global Network,singaporeglobalnetwork.gov.sg,independent,public,False,snowball,Tech
evt-I7z5yBW3QPqsPN3,ClawCon Singapore,https://lu.ma/clawconsingapore,2026-05-14T10:00:00.000Z,2026-05-14T13:00:00.000Z,Asia/Singapore,offline,Singapore,Downtown Core,Singapore,1.28,103.8525,https://images.lumacdn.com/event-covers/zm/4d2af81d-1bb4-447d-84e8-e4e0027e4966.jpg,0,"Tommy, Michael Galpert, Lionel Sim, Agrim Singh, Sherry Jiang, An Dongmei, Alessio Basso",ClawCon,clawcon,independent,public,False,featured,
