event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-ssWFMSDW72txN5H,Arctic Edge: Canadian Defence Tech & Investment,https://lu.ma/5kvw2iol,2026-05-26T12:00:00.000Z,2026-05-26T17:00:00.000Z,America/Toronto,offline,Toronto,Financial District,Canada,43.646811299999996,-79.3811063,https://images.lumacdn.com/event-covers/6h/7ab4801e-7fb6-4c0b-9369-32344ecf9d20.jpg,0,"The Icebreaker, Daniel Sax, Wen Bo, Toronto Tech Week",The Icebreaker,,independent,public,False,featured,
evt-kVsGMCN2wjv94Cr,"Notion Toronto Community Conference Day - Toronto Tech Week Edition: Think Together, Build Together",https://lu.ma/bwklm567,2026-05-26T14:00:00.000Z,2026-05-26T18:00:00.000Z,America/Toronto,offline,Toronto,Downtown Toronto,Canada,43.6423718,-79.3967347,https://images.lumacdn.com/event-covers/lu/fa5d769c-c25f-45bd-893f-c4bce59995c8.jpg,1197,"Dave Mence, Sohrab Amin, Aishah Kabir, Miray Berber, Josh Gonsalves, Toronto Tech Week",Notion Toronto,notiontoronto,independent,public,False,featured,
evt-chsHgCvFvWtHdHt,"Desjardins Speaker Series: How to Build a $100B Company, Brick by Brick",https://lu.ma/ss-ttw-uoft-2026,2026-05-26T16:00:00.000Z,2026-05-26T18:00:00.000Z,America/Toronto,offline,Toronto,University,Canada,43.6609085,-79.3952327,https://images.lumacdn.com/uploads/bf/36b33892-b063-4fee-96dd-71b9dfaa05d9.png,0,"U of T Entrepreneurship, Toronto Tech Week",University of Toronto Entrepreneurship,ute,independent,public,False,featured,
evt-FJGPiinhXDuxYAn,Shopify Tech Talks,https://lu.ma/7wuig10w,2026-05-26T17:00:00.000Z,2026-05-26T22:30:00.000Z,America/Toronto,offline,Toronto,Fashion District,Canada,43.645,-79.4,https://images.lumacdn.com/uploads/97/cca8a51c-194c-43ad-b4d9-974429c7ac9b.png,0,"Shopify Engineering, Toronto Tech Week, Shopify Ventures",Shopify Engineering,shopifyengineering,independent,public,False,featured,
evt-t60cFfCHHKuEOpi,Chill with VCs: TechStartups & Fresh Blends,https://lu.ma/v53394kl,2026-05-26T18:00:00.000Z,2026-05-26T20:00:00.000Z,America/Toronto,offline,Toronto,Wellington Place,Canada,43.6455783,-79.39067469999999,https://images.lumacdn.com/event-covers/vr/51736e88-8bea-44e1-84f5-4a3d6ac61bbf.png,0,"Brightspark Ventures, Innovobot, Toronto Tech Week",Brightspark Ventures,,independent,public,False,featured,
evt-uDzAbqYzoW007AC,U of T x Toronto Tech Week Lawn Party,https://lu.ma/ttw-uoft-lawnparty-2026,2026-05-26T18:00:00.000Z,2026-05-26T21:00:00.000Z,America/Toronto,offline,Toronto,University of Toronto,Canada,43.6617015,-79.39514989999999,https://images.lumacdn.com/event-covers/c6/3bb3b92c-6337-4e41-aee1-6e194870a921.png,0,"U of T Entrepreneurship, Toronto Tech Week",University of Toronto Entrepreneurship,ute,independent,public,False,featured,
evt-5mzJKp5OAKnNWhJ,Krista Kim’s Heart Space at Toronto Tech Week 2026,https://lu.ma/6zzd1jlt,2026-05-26T19:00:00.000Z,2026-05-27T03:00:00.000Z,America/Toronto,offline,Toronto,East Bayfront,Canada,43.647303799999996,-79.3616784,https://images.lumacdn.com/event-covers/n7/bda298df-4abf-4043-9871-8ba2b559be18.jpg,0,"Rodas Sbhatleab, Chris Carder, Lee Williams Boudakian, Vinod Krishna, Marla Wasser, Astrid Kwok, sarah zippel, Toronto Tech Week",Schulich Startups,schulichstartups,independent,public,False,featured,
evt-WhCdaCEhtuEJg4I,Toronto Open Source Meetup,https://lu.ma/7ezqbb02,2026-05-26T19:00:00.000Z,2026-05-26T23:00:00.000Z,America/Toronto,offline,Toronto,Downtown Toronto,Canada,43.642791,-79.39579,https://images.lumacdn.com/event-covers/rg/a91753df-e189-4f39-9ef9-0180c673982c.jpg,0,"Intuit Canada, Toronto Tech Week, Lisa-Marie Namphy",Intuit Open Source Meetup,intuit-open-source-meetup,independent,public,False,featured,
evt-84SxiX4uz3DvoXU,People Making Pasta,https://lu.ma/2hu9lqiv,2026-05-26T20:00:00.000Z,2026-05-26T23:00:00.000Z,America/Toronto,offline,Toronto,Old Toronto,Canada,43.6625,-79.4525,https://images.lumacdn.com/event-covers/n4/5e8db520-404e-43af-8208-f6961af47628.png,19,"Adam Gellert, Adam Gellert, Toronto Tech Week",Personal,,independent,public,True,featured,
evt-YnDROHrhX5mnRHE,AI at Lyft: From Data Foundations to Shipping Faster,https://lu.ma/m7xed1iw,2026-05-26T21:00:00.000Z,2026-05-27T00:00:00.000Z,America/Toronto,offline,Toronto,Financial District,Canada,43.65,-79.38,https://images.lumacdn.com/uploads/f5/910ca4cf-aba0-4759-9b3c-ce98b5884e84.png,113,"Ilya Demidovich, Toronto Tech Week, Olivia O'Riordan",Personal,,independent,public,False,featured,
