event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-6wDsntAeeFrUfeH,Springtime Social Vol.3,https://lu.ma/2nzm88ui,2026-05-27T00:30:00.000Z,2026-05-27T02:30:00.000Z,America/Vancouver,offline,Vancouver,Mount Pleasant,Canada,49.2672357,-123.1033402,https://images.lumacdn.com/uploads/wk/da83d766-000c-488d-b89b-7e5841854f42.png,67,Vancouver Design Community,Vancouver Design Community,vancouverdesigncommunity,independent,public,False,featured,
evt-HWMqnOsOD62tv4j,Netca Series #2 - /metrology,https://lu.ma/5705vyvu,2026-05-28T01:00:00.000Z,2026-05-28T03:00:00.000Z,America/Vancouver,offline,Vancouver,Grandview-Woodland,Canada,49.279188399999995,-123.0760081,https://images.lumacdn.com/uploads/ll/9fcaa8c0-b843-45f1-bfa9-638c82c5ac5f.png,20,Netca,Netca Series,netca_series,independent,public,True,featured,
evt-iRYZceRCIcZXxnK,Vancouver AI Community Meetup: 05/27,https://lu.ma/vanai-may,2026-05-28T01:00:00.000Z,2026-05-28T05:00:00.000Z,America/Vancouver,offline,Vancouver,Kitsilano,Canada,49.276224,-123.14444300000001,https://images.lumacdn.com/uploads/u6/0f949b1d-c577-4f23-9bb6-ca42b995104e.png,60,Kris Krüg,BC + AI Events,vancouver-ai,independent,public,False,snowball,AI
evt-AaAin76Tclj6eqT,"The Breakfast Club – May 28 | An ""All Figured Out"" Event for Working Moms",https://lu.ma/AFO-breakfast-club-may28,2026-05-28T17:00:00.000Z,2026-05-28T19:00:00.000Z,America/Vancouver,offline,West Vancouver,,Canada,49.333232699999996,-123.1822072,https://images.lumacdn.com/uploads/41/e50eef73-e13e-4b26-889a-0dd50049f7f8.png,15,Andrea Barr,All Figured Out Events with Andrea Barr,allfiguredout,independent,public,False,featured,
evt-4J6X4Si5UCTMpoS,1st Vancouver Hardware Meetup @ Global Relay,https://lu.ma/ko47csxx,2026-05-29T00:30:00.000Z,2026-05-29T04:30:00.000Z,America/Vancouver,offline,Vancouver,Central Vancouver,Canada,49.285,-123.1075,https://images.lumacdn.com/uploads/ny/9b37b4d1-6067-4232-a1c2-1063f0438a7f.webp,150,"Nate Padgett, Matt Li, Armin Ghauforian",Vancouver Hardware Meetup,vancouver-hardware-meetup,independent,public,True,featured,
evt-D8Fx1NmynjB6Xl9,DC604: Phish & Chips - How AI is Making Phishing Smarter (and What We’re Doing About It),https://lu.ma/ctvp5juj,2026-05-29T01:00:00.000Z,2026-05-29T03:00:00.000Z,America/Vancouver,offline,Vancouver,Downtown Vancouver,Canada,49.2820597,-123.11969420000001,https://images.lumacdn.com/event-covers/t2/139cdd8f-764c-424f-8060-686e356785a5.png,100,Airman604,DC604 DEFCON Group Vancouver,dc604,independent,public,True,featured,
evt-fOKADZL0a1a6i9e,"Granville Island Sketch Collage: Coffee, Bookstore & People with Becky Cao",https://lu.ma/dy3xb2ez,2026-05-30T17:00:00.000Z,2026-05-30T20:00:00.000Z,America/Vancouver,offline,Vancouver,Granville Island,Canada,49.2700907,-123.1327721,https://images.lumacdn.com/event-covers/r7/c9042f1c-ae5a-49bc-9516-f086f21af350.jpg,15,USk Vancouver,USk Vancouver Sketch Weekend 2026,sketchweekend2026,independent,public,False,featured,
evt-KJ5rWFAQHv4RlJr,Plant It Forward : Vancouver,https://lu.ma/l1d9prxb,2026-05-30T17:00:00.000Z,2026-05-30T19:00:00.000Z,America/Vancouver,offline,Vancouver,Kitsilano,Canada,49.264714,-123.16878099999998,https://images.lumacdn.com/uploads/m9/ebec4ec5-d185-4d93-a8ab-0e78cff9e7f2.png,20,Vancouver Kindness Movement Society,Volunteer Activities,vkmvolunteers,independent,public,True,featured,
evt-bGGAAUS4l9bEdKN,Where do I even begin?: Learning to Simplify Very Complicated Scenes with Rita Sabler,https://lu.ma/xeybw5zd,2026-05-30T17:00:00.000Z,2026-05-30T20:00:00.000Z,America/Vancouver,offline,Vancouver,Granville Island,Canada,49.2700907,-123.1327721,https://images.lumacdn.com/event-covers/ej/7d04af27-43f1-4de1-9839-f948d1da9b85.jpg,15,USk Vancouver,USk Vancouver Sketch Weekend 2026,sketchweekend2026,independent,public,False,snowball,Arts & Culture
evt-GKzMCfPyD0xccD5,Along the Granville Shoreline: Sketchwalk with Heather Souliere,https://lu.ma/rlsl5sx4,2026-05-30T18:30:00.000Z,2026-05-30T20:00:00.000Z,America/Vancouver,offline,Vancouver,Granville Island,Canada,49.2700907,-123.1327721,https://images.lumacdn.com/event-covers/km/7eac9d23-5450-4bc0-901d-2fb702018859.jpg,18,USk Vancouver,USk Vancouver Sketch Weekend 2026,sketchweekend2026,independent,public,False,featured,
